"repo","probe","doctor","configure","build","run","proof_app_local","proof_zip_only","owner","primary_blocker","notes","repo_gate"
"C:\Users\suppo\Desktop\NGKsSystems\NGKsFileVisionary","PASS","PASS","FAIL","SKIP","SKIP","PASS","FAIL","ecosystem","PROOF_POLICY_REGRESSION","probe emits loose _proof\\runs directory; doctor emits loose _proof\\runs directory; configure blocked by repo/profile contract after probe/doctor","PARTIAL"
"C:\Users\suppo\Desktop\NGKsSystems\NGKsGraph","PASS","PASS","FAIL","SKIP","SKIP","PASS","FAIL","ecosystem","PROOF_POLICY_REGRESSION","probe emits loose _proof\\runs directory; doctor emits loose _proof\\runs directory; configure blocked by repo/profile contract after probe/doctor","PARTIAL"
"C:\Users\suppo\Desktop\NGKsSystems\NGKsMediaLab","PASS","PASS","FAIL","SKIP","SKIP","PASS","FAIL","ecosystem","PROOF_POLICY_REGRESSION","probe emits loose _proof\\runs directory; doctor emits loose _proof\\runs directory; configure blocked by repo/profile contract after probe/doctor","PARTIAL"
"C:\Users\suppo\Desktop\NGKsSystems\NGKsPlayerNative","PASS","PASS","FAIL","SKIP","SKIP","PASS","FAIL","ecosystem","PROOF_POLICY_REGRESSION","probe emits loose _proof\\runs directory; doctor emits loose _proof\\runs directory; configure blocked by repo/profile contract after probe/doctor","PARTIAL"
"C:\Users\suppo\Desktop\NGKsSystems\NGKsUI Runtime","PASS","PASS","FAIL","SKIP","SKIP","PASS","FAIL","ecosystem","PROOF_POLICY_REGRESSION","probe emits loose _proof\\runs directory; doctor emits loose _proof\\runs directory; configure blocked by repo/profile contract after probe/doctor","PARTIAL"
